ID,Job Code,DeptID,Descr,Degree Level,Hrly Rate,FTE,CREDIT_HRS_TOTAL,Fees,Matric,Weekly Rate,Biweekly Rate,Yearly Rate,Degree Level Coded,Min.Hrly.Rate.Diff.Fixed,Min.Yearly.Rate.Adjusted,Min.Hrly.Yearly.Rate.Diff,Zero.If.Below.Min.Yearly.Rate,Prop.Diff.To.Min.Yearly.Rate,Zero.If.LE.1.Percent.Prop
113154,9184,0-6403-000,Epidemiology-Biostatistic,Doctor of Philosophy,16,0.25,9,,,160,320,6240,Doctoral,14.3,5577.5,662.5,1,11.90%,1
93779,9550,0-6408-000,Department of Global Health,Doctor of Philosophy,16.4,0.25,9,609.67,3310.2,164,328,6396,Doctoral,14.3,5577.5,818.5,1,14.70%,1
82251,9182,0-6144-000,Molecular Medicine,Doctor of Philosophy,16.666667,0.25,12,2094.44,9507.84,166.67,333.33,6500,Doctoral,14.3,5577.5,922.5,1,16.50%,1
92618,9183,0-1241-000,World Languages,Doctor of Philosophy,16.790816,0.25,9,809.65,7121.88,167.91,335.82,6548.42,Doctoral,14.3,5577.5,970.92,1,17.40%,1
102171,9183,0-1241-000,World Languages,Doctor of Philosophy,16.790816,0.25,9,618.67,3301.2,167.91,335.82,6548.42,Doctoral,14.3,5577.5,970.92,1,17.40%,1
102211,9183,0-1241-000,World Languages,Doctor of Philosophy,16.790816,0.25,9,,,167.91,335.82,6548.42,Doctoral,14.3,5577.5,970.92,1,17.40%,1
82303,9184,0-6403-000,Epidemiology-Biostatistic,Doctor of Philosophy,16.9,0.25,9,609.67,3310.2,169,338,6591,Doctoral,14.3,5577.5,1013.5,1,18.20%,1
96842,9184,0-6403-000,Epidemiology-Biostatistic,Doctor of Philosophy,16.9,0.25,9,,,169,338,6591,Doctoral,14.3,5577.5,1013.5,1,18.20%,1
78117,9184,0-6405-000,Community & Family Health,Doctor of Philosophy,17,0.25,9,,,170,340,6630,Doctoral,14.3,5577.5,1052.5,1,18.90%,1
89080,9184,0-6405-000,Community & Family Health,Doctor of Philosophy,17,0.25,9,,,170,340,6630,Doctoral,14.3,5577.5,1052.5,1,18.90%,1
